function,f4705,f4706,f4707,f4708,f4709,f4710,f4711,f4712,f4713,f4714,f4715,f4716,f4717,f4718,f4719,f4720,f4721,f4722,f4723,f4724,f4725,f4726,f4727,f4728,f4729,f4730,f4731,f4732,f4733,f4734,f4735,f4736,f4737,f4738,f4739,f4740,f4741,f4742,f4743,f4744,f4745,f4746,f4747,f4748,f4749,f4750,f4751,f4752,f4753,f4754,f4755,f4756,f4757,f4758,f4759,f4760,f4761,f4762,f4763,f4764,f4765,f4766,f4767,f4768,f4769,f4770,f4771,f4772,f4773,f4774,f4775,f4776,f4777,f4778,f4779,f4780,f4781,f4782,f4783,f4784,f4785,f4786,f4787,f4788,f4789,f4790,f4791,f4792,f4793,f4794,f4795,f4796,f4797,f4798,f4799,f4800,f4801,f4802,f4803,f4804,f4805,f4806,f4807,f4808,f4809,f4810,f4811,f4812,f4813,f4814,f4815,f4816,f4817,f4818,f4819,f4820,f4821,f4822,f4823,f4824,f4825,f4826,f4827,f4828,f4829,f4830,f4831,f4832,f4833,f4834,f4835,f4836,f4837,f4838,f4839,f4840,f4841,f4842,f4843,f4844,f4845,f4846,f4847,f4848,f4849,f4850,f4851,f4852,f4853,f4854,f4855,f4856,f4857,f4858,f4859,f4860,f4861,f4862,f4863,f4864,f4865,f4866,f4867,f4868,f4869,f4870,f4871,f4872,f4873,f4874,f4875,f4876,f4877
WI2p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,0
WJ1n,15,0,0,4,8,0,4,1,8,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,11,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,1,0,0,0,0,8,4,8,1,8,22,0,0,0,0,0,0,2,0,2,2,2,10,3,8,0,0,3,0,0,0,4,1,3,2,0,0,0,17,7,0,3,0,11,0,5,0,0,0,0,0,1,3,2,7,4,4,2,8,0,0,3,3,3,3,2,8,0,0,6,27,0,0,0,0,0,0,25,0,0,0,0,2,1,4,0,3,6,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,11,0,0,0,5,0,7,24,0,0,0,0,0,0,0,4,4
WJ1p,0,5,1,0,0,1,0,0,0,1,0,1,1,0,4,7,0,2,10,1,0,1,4,2,1,0,0,1,0,11,8,9,8,11,11,11,8,8,8,9,6,7,11,4,4,0,1,0,0,1,0,1,0,8,1,8,8,0,0,0,0,0,0,3,0,0,8,0,9,0,1,0,0,0,0,0,0,4,4,0,4,4,5,0,0,0,0,3,7,11,0,0,3,0,7,0,10,0,6,11,4,5,1,0,0,0,0,0,0,0,0,11,6,0,0,0,0,0,0,1,2,0,0,2,1,2,6,8,1,0,0,8,10,1,0,0,0,3,0,0,3,1,0,1,5,0,1,2,2,2,3,0,0,2,2,5,0,1,2,2,0,0,0,0,1,1,0,0,0,0,6,0,0
WJ2n,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
WJ2p,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0
WK1n,15,0,0,0,8,0,4,1,9,0,0,0,0,0,0,0,0,0,25,7,0,0,0,0,0,0,6,0,2,28,28,0,0,0,0,0,28,29,0,0,21,0,13,0,5,2,0,0,5,0,10,0,1,16,0,0,0,0,5,16,1,0,0,0,0,0,16,0,11,2,0,2,2,0,18,3,0,0,0,3,0,0,0,4,0,3,2,0,0,30,17,7,0,3,0,11,0,5,0,0,0,24,0,1,0,2,0,0,4,2,16,0,0,3,3,3,3,0,8,0,0,0,0,0,0,0,0,16,0,25,6,0,35,0,2,1,0,0,3,6,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,11,0,0,0,5,0,7,24,0,0,0,0,0,0,0,4,4
WK1p,0,5,1,4,0,1,0,0,0,1,4,1,1,2,4,7,5,2,0,0,6,1,4,2,1,11,0,1,0,0,0,9,8,11,11,11,0,0,8,9,0,7,0,4,0,0,1,2,0,8,0,1,0,0,1,16,8,8,0,0,0,8,22,3,5,5,0,0,0,0,1,0,0,2,0,0,8,4,4,0,4,4,4,0,1,0,0,3,8,0,0,0,3,0,8,0,10,0,28,11,5,0,1,0,3,0,7,4,0,0,0,26,6,0,0,0,0,2,0,1,2,7,27,2,1,2,6,0,1,0,0,8,0,1,0,0,5,3,0,0,3,1,0,0,5,0,1,2,2,2,3,1,5,2,2,5,0,1,2,2,0,7,0,0,1,6,5,6,5,5,6,0,0
WK2n,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
WK2p,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
WL1n,15,0,0,0,8,11,0,1,17,0,0,0,0,0,0,0,0,0,0,7,7,0,0,17,9,0,34,0,2,0,0,0,0,0,0,0,0,0,0,0,0,16,13,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,16,0,0,0,0,0,5,0,0,11,0,0,0,0,0,18,3,0,0,0,3,23,0,24,4,0,3,2,0,0,30,17,0,0,3,0,0,0,5,0,0,0,24,0,10,0,2,21,0,4,2,0,0,0,3,3,0,3,0,8,0,0,0,0,0,0,0,0,16,11,25,6,0,35,0,0,1,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,7,7,0,0,6,0,7,0,0,0,19,0
WL1p,0,5,1,4,0,0,4,0,0,9,4,1,1,2,4,7,5,2,25,0,0,1,4,0,0,41,0,10,0,28,28,9,37,39,39,39,28,29,35,9,21,0,0,9,5,2,1,2,5,9,10,1,0,16,1,16,8,8,9,0,1,16,22,3,5,0,16,10,0,2,1,2,2,2,0,0,32,4,23,0,0,4,0,0,1,0,0,22,8,0,0,7,15,0,8,11,28,0,28,39,5,0,1,0,3,0,0,4,0,0,16,26,32,0,0,3,0,2,0,12,15,7,27,2,12,15,31,0,0,0,0,37,0,1,2,0,9,3,0,6,3,1,0,9,5,11,1,2,2,2,3,10,5,2,2,5,0,1,2,2,11,0,0,24,1,0,5,0,5,5,6,0,4
WL2n,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
WL2p,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1
WT1n,0,0,0,0,2,3,0,0,12,0,0,0,0,0,0,17,0,0,0,1,0,0,0,8,2,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,29,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,14,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,0,1,1,0,3,2,0,0,0,1,1,0,2,0,4,0,0,8,0,0,0,0,0,0,1,5,3,0,4,8,0,0,0,0,3,0,0,6,2,0,0,0,0,7,5,7,6,0,0,9,3,0,10,0,5,3,4,2,0,0,0,3,0,0,0,0,0,16,0
WT1p,0,14,5,7,0,0,3,0,0,10,5,6,3,3,20,0,9,8,20,0,2,5,14,0,0,21,0,10,0,22,20,9,32,34,33,34,23,24,32,9,15,0,4,14,6,4,3,4,5,11,1,4,0,0,3,31,31,12,0,0,1,16,37,17,10,2,0,1,0,1,7,1,0,4,0,0,8,11,12,0,0,19,0,0,2,0,0,13,22,6,3,0,16,0,18,14,29,0,63,17,12,1,12,0,5,0,0,7,0,0,8,59,24,0,0,1,0,4,0,8,12,0,55,2,9,11,22,15,0,0,0,32,0,0,0,0,8,11,0,5,8,0,0,7,26,1,8,0,0,0,0,4,3,0,0,15,0,10,0,0,0,0,1,15,4,0,3,3,6,5,26,0,2
WT2n,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WT2p,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0
time,0,0,0.541184,0,0,0.526602,0,0.0521631,0.432062,0,0,0.450331,0,0,0,0.597668,0,0,0,0.373242,0.997114,0,0,0.489353,0,0,0.659987,0.768448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.354628,0,0,0,0.49843,0.294342,0.42611,0,0,0,0,0,0,0.514912,0.218315,0,0,0,0,0,0,0.440588,0,0.396596,0,0.395389,0,0.538805,0,0,0,0,0,0,0,0,0.386843,0,0.18913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.589872,0.477619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.710533,0,0,0,0,0,0,0.448653,0,0.498256,0,0,0.377423,0,0,0,0,0,0,0,0.332389,0.56407,0.736009,0,0.519624,0,0.3909,0.536601,0.571316,0.413712,0.776127,0,0.522948,0.430031,0,0,0,0.47758,0.527134,0.582326,0.545018,0,0,0,0.542482,0,0.919818,0,0,0,0.617392,0
objective,102,72,17,39,68,25,35,12,57,34,39,18,20,27,62,75,39,46,117,31,33,37,52,46,26,129,112,33,25,129,126,73,133,139,140,141,127,134,118,71,101,47,68,55,40,44,15,31,37,46,31,16,32,66,17,99,77,64,42,97,13,70,153,63,44,34,73,24,59,19,39,24,27,29,84,43,92,57,77,42,71,63,75,44,14,44,39,72,64,121,109,67,60,30,60,95,109,58,173,117,48,92,24,33,34,43,60,51,44,40,70,161,102,33,31,33,32,42,76,52,65,47,190,40,55,62,105,83,23,125,33,135,134,20,42,14,48,53,45,49,50,22,34,31,82,23,22,30,28,30,39,27,35,32,26,73,89,24,28,26,42,34,46,139,18,35,37,34,40,39,78,66,46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
time,0.692498,0.782782,0.531971,0.689834,0.491442,0.464596,0.662915,0.206543,0.676445,0.541834,0.845234,0.525148,0.427822,0.428602,0.670636,0.630669,0.601813,0.829888,0.697212,0.465024,0.802512,0.552442,0.893038,0.764289,0.423949,0.782191,0.794373,0.758471,0.256518,0.650731,0.731471,1.25961,0.832283,0.669962,0.80764,0.755998,0.731278,0.752339,0.715436,0.946474,0.782191,0.733306,0.884176,0.584298,0.73429,0.506274,0.360511,0.425212,0.526933,0.5984,0.632016,0.435084,0.847816,0.604409,0.340594,0.911131,0.621976,0.655081,0.707108,0.565308,0.206627,0.562858,0.78832,1.04692,0.456088,0.576717,0.520224,0.54805,0.709289,0.557584,0.782647,0.423736,0.463524,0.606583,0.72168,0.373946,0.814062,1.1037,0.793478,0.333745,0.71789,0.834832,0.967989,0.353901,0.284741,0.363623,0.332904,0.626632,0.774243,0.770046,0.811344,0.655626,0.536223,0.382643,0.711399,1.23841,0.637353,0.464417,0.714267,0.536612,0.765162,0.92237,0.589581,0.942194,0.471016,0.358598,0.913457,0.717365,0.363184,0.346564,0.552708,0.658816,0.754678,0.376306,0.382382,0.549416,0.382639,0.630992,0.492346,0.859602,0.972844,0.691257,0.758997,0.485355,0.828075,1.06675,0.591121,0.681036,0.491115,0.572741,0.5403,0.838519,0.644527,0.287263,0.462175,0.214394,0.65998,0.75285,0.374166,0.855903,1.2166,0.346359,0.485137,0.737602,0.712538,0.485329,0.64684,0.395929,0.352514,0.497654,0.451023,0.66219,0.520599,0.489392,0.401771,0.810883,0.573885,0.572842,0.46346,0.478724,0.555563,0.578019,0.677481,0.908468,0.373437,0.61268,0.567146,0.812253,0.790858,1.11017,0.771104,0.898946,0.512282
objective,97,65,17,39,63,25,35,12,57,34,39,18,20,27,62,75,39,41,114,31,33,30,51,46,25,128,112,33,25,129,125,70,131,137,137,138,127,134,118,68,97,46,65,54,40,37,15,31,37,43,31,16,32,66,17,99,77,64,40,97,13,70,148,59,42,33,73,24,59,19,33,24,27,29,80,36,91,51,73,35,67,59,75,38,14,37,31,71,62,117,109,61,60,30,58,9.20E+01,109,51,171,116,48,92,24,33,34,33,57,46,44,32,70,160,102,33,31,33,32,35,70,49,61,47,187,32,51,60,104,83,23,125,33,132,131,20,33,14,48,48,38,44,45,22,34,31,77,23,22,30,28,30,39,27,34,32,26,66,85,24,28,26,42,34,42,134,18,35,35,34,38,38,75,66,41
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reduce time,1,1,-0.017318613,1,1,-0.133462191,1,0.747446779,0.361275492,1,1,0.142468409,1,1,1,0.052326973,1,1,1,0.197370458,-0.242491078,1,1,0.359727799,1,1,0.169172416,-0.013154096,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.016318503,1,1,1,0.211364902,0.323482362,0.497402738,1,1,1,1,1,1,0.089147863,-0.056565696,1,1,1,1,1,1,0.19608065,1,0.28872421,1,0.066897785,1,0.111737388,1,1,1,1,1,1,1,1,0.60036426,1,0.335782343,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-0.000493571,0.493077859,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-0.027885432,1,1,1,1,1,1,0.086460401,1,0.077816028,1,1,-0.313858729,1,1,1,1,1,1,1,0.040333873,-0.162702494,0.002159701,1,-0.070663406,1,0.012701772,-0.522211884,-0.148018503,0.082725271,-0.172060889,1,-0.068566711,-0.070338576,1,1,1,-0.030466491,-0.101122985,-0.048172754,0.057093279,1,1,1,0.114575308,1,-0.13242795,1,1,1,0.313204575,1
reduce cost,-5,-7,0,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,-5,-3,0,0,-7,-1,0,-1,-1,0,0,0,0,-1,-3,-2,-2,-3,-3,0,0,0,-3,-4,-1,-3,-1,0,-7,0,0,0,-3,0,0,0,0,0,0,0,0,-2,0,0,0,-5,-4,-2,-1,0,0,0,0,-6,0,0,0,-4,-7,-1,-6,-4,-7,-4,-4,0,-6,0,-7,-8,-1,-2,-4,0,-6,0,0,-2,-3.000000499,0,-7,-2,-1,0,0,0,0,0,-10,-3,-5,0,-8,0,-1,0,0,0,0,0,-7,-6,-3,-4,0,-3,-8,-4,-2,-1,0,0,0,0,-3,-3,0,-9,0,0,-5,-7,-5,-5,0,0,0,-5,0,0,0,0,0,0,0,-1,0,0,-7,-4,0,0,0,0,0,-4,-5,0,0,-2,0,-2,-1,-3,0,-5
